"This leaderboard is the average results of 40 runs done between 1,433 competitors. (After many handshake, kingmaker, minion, and random.seed manipulators had been removed.)",,,,,,,,,,,,,,
"More improvements: For these runs, the order in which the 1v1s were conducted was also randomized, just in case there were any lingering effects between game-to-game (there shouldn't be, but I just wanted to be safe)",,,,,,,,,,,,,,
THIS LEADERBOARD IS NOT FINALIZED!,,,,,,,,,,,,,,
ID,Rank,Author,Strategy name,Passed sanity check? (no crash),Trial count,Average of (SCORE*100),95% margin of error of (SCORE*100),Stdev of (SCORE*100),% turns cooperated (equal weight to each game regardless of game length),% coop rate stdev across diff opponents,Days after announcement submitted,Non-empty lines of code,"Runtime against 9 defaults (in ms) (~2,250 runs)",A/B branch
userStrats.s1184,#419,Savlik,memPlayer.py,TRUE,40,278.401,±0.092,68.877,76.356,35.53,6.61594,45,111.268,2
userStrats.s1485,#420,Haydn,Prior_608.py,TRUE,40,278.392,±0.083,51.136,87.657,27.011,7.01662,30,209.586,3
userStrats.s1503,#421,zealody,buggyTester.py,TRUE,40,278.369,±0.060,51.815,87.012,27.991,7.02025,56,176.64,1
userStrats.s1177,#422,CoffeeBlend,favourable.py,TRUE,40,278.328,±0.086,57.686,83.814,33.614,6.57968,77,142.877,3
userStrats.s1472,#423,lakerail,masheenLernt.py,TRUE,40,278.323,±0.077,54.379,88.793,24.877,7.01234,31,106.028,2
userStrats.s269,#424,Bip,elephant.py,TRUE,40,278.267,±0.100,49.394,88.65,26.797,0.78997,16,681.093,3
userStrats.s1574,#425,Onolix,stratFour.py,TRUE,40,278.261,±0.082,58.006,80.803,31.413,7.8458,25,94.278,2
userStrats.s1488,#426,Cadberry,_TftForRand.py,TRUE,40,278.168,±0.148,61.829,89.882,24.615,7.01667,30,98.711,1
userStrats.s1010,#427,hoziCh,hoziCh.py,TRUE,40,278.158,±0.062,51.675,92.458,19.995,5.97681,9,105.866,3
userStrats.s638,#428,Pablo D.,disguise142857.py,TRUE,40,278.1,±0.105,56.829,85.863,31.707,3.60575,35,135.825,0
userStrats.s1361,#429,Ritorukkkoku,ThePunisherV2.py,TRUE,40,278.097,±0.085,60.036,84.865,31.816,6.93471,34,99.536,2
userStrats.s690,#430,astralsky,probe6-tftt4+.py,TRUE,40,278.054,±0.111,69.018,83.169,35.681,3.94575,41,104.303,1
userStrats.s349,#431,GuyHori,guihori.py,TRUE,40,278.019,±0.125,44.425,83.66,22.529,1.11693,27,94.146,0
userStrats.s1354,#432,BobBobs,Test_Strat_2_2.py,TRUE,40,277.999,±0.099,72.088,78.823,38.323,6.92851,18,335.984,2
userStrats.s646,#433,C4inan,belito.py,TRUE,40,277.992,±0.078,47.797,90.002,24.013,3.68603,18,165.178,-1
userStrats.s950,#434,Vedal,vedalNeuralNetwork.py,TRUE,40,277.975,±0.098,63.181,84.552,34.111,5.83837,74,104.925,0
userStrats.s376,#435,Ryan,tftPlusStrategyDetector.py,TRUE,40,277.966,±0.068,57.236,89.688,22.77,1.30914,183,397.181,1
userStrats.s569,#436,Dragon,safeTruth.py,TRUE,40,277.953,±0.070,51.301,92.193,20.752,2.82683,24,346.674,1
userStrats.s1386,#437,Cole,statSimulator.py,TRUE,40,277.934,±0.154,71.429,83.773,29.276,6.95385,219,149.951,3
userStrats.s539,#438,myapple,GradualTFT_improved_myapplestory.py,TRUE,40,277.913,±0.076,62.391,83.256,34.658,2.58997,31,101.148,0
userStrats.s326,#439,Janik,gradual.py,TRUE,40,277.873,±0.098,57.354,85.032,30.85,0.9677,23,103.797,3
userStrats.s1471,#440,Will(iam|ow),cary_is_cool.py,TRUE,40,277.871,±0.070,66.787,82.485,35.935,7.01192,16,352.665,0
userStrats.s1126,#441,beofhelp,thisWontWin.py,TRUE,40,277.823,±0.104,66.005,82.803,34.825,6.39712,20,90.363,3
userStrats.s1179,#442,muneeb,muneeb.py,TRUE,40,277.765,±0.112,66.045,82.83,34.792,6.59174,21,101.473,2
userStrats.s1451,#443,Nobelio,ForgivenRandishTitForTats.py,TRUE,40,277.761,±0.199,53.465,92.992,16.149,7.00236,8,95.559,0
userStrats.s1369,#444,adamthedog (Adam),sisiiisisisiisijadiwjd.py,TRUE,40,277.743,±0.090,67.253,80.659,34.688,6.93935,157,101.916,2
userStrats.s440,#445,HaydnG,HaydnG_V2.py,TRUE,40,277.679,±0.082,60.111,85.609,29.759,1.83438,25,103.637,1
userStrats.s142,#446,Dimitri,gracefulGradualTFT.py,TRUE,40,277.668,±0.103,59.667,86.642,28.066,0.29797,39,97.999,0
userStrats.s29,#447,Atominer,gradual.py,TRUE,40,277.641,±0.085,60.255,85.681,29.586,0.05877,31,93.845,3
userStrats.s1362,#448,Aqua,Observer.py,TRUE,40,277.418,±0.095,55.83,85.513,32.203,6.93513,218,212.017,1
userStrats.s1580,#449,Hallucigenia,entanglement.py,TRUE,40,277.369,±0.117,69.124,81.438,37.48,7.89681,34,96.802,2
userStrats.s456,#450,Mankeman,The_Abbot.py,TRUE,40,277.325,±0.079,51.764,92.554,20.022,1.90457,118,96.4,3
userStrats.s1041,#451,Luca,haha_yes.py,TRUE,40,277.287,±0.105,67.62,82.816,36.045,6.08895,20,95.061,1
userStrats.s1562,#452,Sorting,PsiTitForTat.py,TRUE,40,277.191,±0.069,68.08,81.172,37.599,7.66329,34,94.514,1
userStrats.s1237,#453,Vawlpe  /vɔlpi/,test.py,TRUE,40,277.148,±0.160,68.449,78.021,33.886,6.74722,159,98.605,0
userStrats.s1432,#454,Quant1um,uwu.py,TRUE,40,277.145,±0.059,66.771,83.676,33.213,6.99333,50,99.659,3
userStrats.s815,#455,oligophagy,strikeOut.py,TRUE,40,277.099,±0.084,68.956,80.407,38.012,5.02343,12,99.827,0
userStrats.s152,#456,JT,BetterDetective.py,TRUE,40,277.041,±0.099,59.468,83.733,34.738,0.36723,8,126.018,3
userStrats.s831,#457,none (submitting for my mum),Angel.py,TRUE,40,277.018,±0.082,72.361,77.763,37.364,5.08312,469,165.009,3
userStrats.s1611,#458,Javalim,mangle.py,TRUE,40,276.986,±0.089,72.448,78.585,37.511,9.0138,105,445.678,3
userStrats.s1020,#459,Alexander Haupt,alex_detective.py,TRUE,40,276.941,±0.086,72.071,77.821,37.233,6.00639,107,117.501,0
userStrats.s1186,#460,Tommy,tommy's ultimate tft variant.py,TRUE,40,276.871,±0.098,58.118,83.532,34.455,6.62088,38,173.777,2
userStrats.s1502,#461,FractalCycle,FRAC_optimisedPriest.py,TRUE,40,276.863,±0.083,60.55,84.258,32.738,7.02006,248,109.61,0
userStrats.s933,#462,Tomas Gaming,detectiveTom.py,TRUE,40,276.799,±0.070,54.103,86.109,29.285,5.80124,38,97.716,1
userStrats.s547,#463,Ninja Nolan,new tft.py,TRUE,40,276.795,±0.081,67.045,80.987,36.376,2.70502,21,313.825,1
userStrats.s1188,#464,EnderShadow8,omega 3-1.py,TRUE,40,276.741,±0.110,69.636,81.137,37.725,6.62207,37,101.449,1
userStrats.s948,#465,Chii,guarded-pavlov.py,TRUE,40,276.717,±0.086,66.779,80.739,36.121,5.83328,61,175.874,2
userStrats.s609,#466,Nick (Nick_Whitestreak),sectionNinetyEight.py,TRUE,40,276.698,±0.077,56.515,84.591,32.811,3.23106,38,92.674,0
userStrats.s921,#467,Texashokies,AlGoreRythm.py,TRUE,40,276.684,±0.112,66.845,83.479,34.561,5.75802,116,1229.387,0
userStrats.s1524,#468,SwordFish121,lazyDetectiveTitForTatFixer.py,TRUE,40,276.667,±0.065,53.491,90.631,23.397,7.08322,48,93.468,3
userStrats.s1419,#469,Hercik(eric for easy spelling),vendettaNewForm.py,TRUE,40,276.654,±0.096,60.447,83.501,33.084,6.98399,40,93.895,2
userStrats.s500,#470,Jaime,jaromp.py,TRUE,40,276.588,±0.154,44.807,81.769,22.453,2.21013,28,91.339,2
userStrats.s102,#471,Levy,entry.py,TRUE,40,276.579,±0.081,60.493,83.474,33.104,0.18528,37,85.402,1
userStrats.s430,#472,Julian,julian_h_strat.py,TRUE,40,276.572,±0.081,55.208,87.455,28.366,1.75909,39,148.859,1
userStrats.s131,#473,Sogolumbo,Sogolumbo.py,TRUE,40,276.511,±0.059,54.002,91.974,20.15,0.26219,30,88.195,2
userStrats.s214,#474,silvester210,titForTat+RandomDestroyer.py,TRUE,40,276.505,±0.109,69.311,81.769,36.601,0.60932,13,158.642,1
userStrats.s310,#475,Julian H,smart_tft.py,TRUE,40,276.41,±0.099,52.861,87.03,28.619,0.90955,25,101.282,0
userStrats.s932,#476,"vlco_o (but you can say ""vic"")",counterTitForTat.py,TRUE,40,276.339,±0.081,50.777,90.034,24.35,5.79752,26,171.591,1
userStrats.s1290,#477,Second-120,smartidot.py,TRUE,40,276.299,±0.097,65.012,78.796,30.953,6.83738,46,276.15,3
userStrats.s794,#478,KBOPYM,KBOptimisedPriest.py,TRUE,40,276.289,±0.128,60.616,83.633,33.012,4.90411,223,103.996,2
userStrats.s661,#479,Olaf,voidfish.py,TRUE,40,276.283,±0.094,55.569,86.246,30.507,3.79299,105,116.161,1
userStrats.s337,#480,Julien,tittat_bail_20_10.py,TRUE,40,276.273,±0.093,62.2,81.89,35.914,1.02154,16,113.642,1
userStrats.s763,#481,Víctor Canesin,revJossFGT6.py,TRUE,40,276.208,±0.092,59.657,85.832,31.127,4.73083,48,92.287,0
userStrats.s762,#482,celeron55,celeron55.py,TRUE,40,276.196,±0.089,56.066,84.578,31.335,4.71411,16,98.746,0
userStrats.s738,#483,Tim,myStrat53494680.py,TRUE,40,276.175,±0.109,67.483,81.393,34.908,4.46903,45,100.19,2
userStrats.s1608,#484,nekiwo,mango..py,TRUE,40,276.158,±0.086,71.674,81.396,35.778,8.99625,100,139.907,0
userStrats.s671,#485,Willem,yourKindaSus.py,TRUE,40,276.147,±0.212,63.181,85.169,31.339,3.87164,55,134.094,-1
userStrats.s1341,#486,Lisa,gradual_pour_la_science.py,TRUE,40,276.136,±0.068,66.521,81.452,36.495,6.9108,25,96.346,3
userStrats.s171,#487,RushSecond,friendlyAndClever.py,TRUE,40,276.08,±0.215,64.772,86.158,31.502,0.45145,52,98.817,0
userStrats.s876,#488,DiGatsby,digatsby.py,TRUE,40,275.939,±0.099,56.248,90.07,22.184,5.4863,24,91.61,0
userStrats.s1024,#489,Elias W. aka Eli,CyberDragon.py,TRUE,40,275.931,±0.200,57.786,89.85,20.258,6.03242,195,139.12,3
userStrats.s1527,#490,Aachen,3s3tft.py,TRUE,40,275.888,±0.101,55.196,87.007,27.685,7.09831,27,87.594,0
userStrats.s543,#491,Markcreator,pessimismIsOptimal.py,TRUE,40,275.855,±0.122,65.013,81.698,35.999,2.62698,37,100.701,2
userStrats.s972,#492,Blacky,MEDIA.py,TRUE,40,275.844,±0.076,52.265,90.192,24.413,5.89256,21,203.885,2
userStrats.s263,#493,Isaac,coolTitForTat.py,TRUE,40,275.808,±0.085,72.147,79.62,38.972,0.76411,18,96.756,3
userStrats.s1017,#494,Azimuth,Activated_Differentiator.py,TRUE,40,275.734,±0.064,71.439,78.64,38.224,5.99531,91,102.799,2
userStrats.s939,#495,SpookySkelly222,suuuuuuperftft.txt,TRUE,40,275.728,±0.120,72.697,79.261,38.624,5.81223,128,391.38,3
userStrats.s723,#496,Badel2,badel2.py,TRUE,40,275.702,±0.090,60.933,83.409,34.621,4.23204,77,107.278,1
userStrats.s405,#497,Ray,enlightened.py,TRUE,40,275.682,±0.070,53.228,93.168,19.939,1.64441,13,89.808,0
userStrats.s1133,#498,Dust,frickley1.py,TRUE,40,275.617,±0.207,69.687,82.411,34.945,6.41928,38,107.677,1
userStrats.s1116,#499,Leah,SwanStorm. Swanstrom.py,TRUE,40,275.609,±0.123,51.496,74.358,19.444,6.34721,22,91.961,3
userStrats.s449,#500,the Foxe (the 'e' is silent),markov_by_TITF.py,TRUE,40,275.592,±0.120,51.679,86.273,27.471,1.87373,20,352.882,0
userStrats.s1360,#501,littlegws,I_Actually_Don't_Know_What_This_Strategy_Is.py,TRUE,40,275.577,±0.075,55.998,84.263,30.419,6.93455,18,106.941,2
userStrats.s219,#502,lysergia,myStrat.py,TRUE,40,275.537,±0.109,56.729,91.361,17.459,0.6213,18,99.756,3
userStrats.s1321,#503,Fishman97,Fishman97.py,TRUE,40,275.529,±0.095,56.763,86.025,29.757,6.88068,31,175.204,2
userStrats.s877,#504,Hubert,PavlovianDetective.py,TRUE,40,275.462,±0.092,60.695,91.437,17.836,5.51148,53,99.163,1
userStrats.s439,#505,Brown496,twotitsperincreasingtatsaggro.py,TRUE,40,275.428,±0.083,63.961,81.528,36.672,1.8302,11,124.619,2
userStrats.s79,#506,FemboyMoki,toady0.py,TRUE,40,275.409,±0.115,42.824,83.831,22.066,0.15791,25,87.857,2
userStrats.s1049,#507,matthiaslamp,mlml.py,TRUE,40,275.397,±0.054,57.131,92.96,19.173,6.11132,37,191.835,0
userStrats.s1173,#508,ozakbas,gemCollector.py,TRUE,40,275.315,±0.194,46.84,77.663,22.592,6.54902,10,151.603,3
userStrats.s711,#509,d,tit4.py,TRUE,40,275.303,±0.084,73.401,78.853,39.35,4.14778,30,90.154,2
userStrats.s1284,#510,Greg,AAAAntiRandDAntiJossAntiDetecFTF2.py,TRUE,40,275.246,±0.114,68.135,82.719,36.173,6.83163,131,1193.383,2
userStrats.s1254,#511,Valadaptive,responsivenessDetector.py,TRUE,40,275.198,±0.070,70.381,81.973,32.499,6.76962,55,111.213,2
userStrats.s1291,#512,Iain,ARADJAD.py,TRUE,40,275.171,±0.111,68.352,82.636,36.271,6.83752,131,1305.621,2
userStrats.s197,#513,Baron Unread,randBetrayal.py,TRUE,40,275.098,±0.253,56.757,84.438,31.242,0.55031,16,87.35,3
userStrats.s644,#514,felp,titForTatBetrayal.py,TRUE,40,275.045,±0.135,47.237,77.166,22.516,3.65873,7,87.879,3
userStrats.s1459,#515,maxkl,weightedMonotonic.py,TRUE,40,274.891,±0.077,54.1,84.021,27.792,7.00781,23,139.047,1
userStrats.s911,#516,balloon hat,alexanderPavlov.py,TRUE,40,274.89,±0.087,53.763,90.955,22.274,5.71215,60,101.061,2
userStrats.s915,#517,jdefgh,jdefgh.py,TRUE,40,274.827,±0.091,54.955,87.884,28.704,5.74012,13,235.077,2
userStrats.s1058,#518,Yourself,tftDetection.py,TRUE,40,274.74,±0.081,57.883,83.928,32.618,6.1331,27,348.389,2
userStrats.s1467,#519,Infinity Divided,PsiTFT.py,TRUE,40,274.694,±0.100,76.416,77.238,39.508,7.01047,154,111.315,1
userStrats.s525,#520,Dylan Hillier,opponent-approx.py,TRUE,40,274.675,±0.152,57.297,91.816,19.204,2.5205,36,125.643,-1
userStrats.s1498,#521,Andrew C,coolGoodAgent.py,TRUE,40,274.649,±0.090,74.223,77.014,38.947,7.01947,21,94.349,0
userStrats.s1089,#522,CommunistMountain (or CMountain),tftGrudgeCM.py,TRUE,40,274.501,±0.089,68.363,80.406,37.654,6.23645,19,99.461,3
userStrats.s364,#523,komaeda77,apolEye4Eye.py,TRUE,40,274.493,±0.063,62.02,92.779,15.516,1.22681,14,82.814,2
userStrats.s949,#524,Nightmarius,gradual.py,TRUE,40,274.454,±0.091,70.987,84.747,30.394,5.83753,17,91.981,3
userStrats.s493,#525,kiro,kiroStrat.py,TRUE,40,274.45,±0.069,62.256,92.704,15.635,2.10888,17,97.11,1
userStrats.s1268,#526,Carlos M.,FrankensteinsStrategy.py,TRUE,40,274.424,±0.096,70.984,78.604,37.138,6.80947,339,112.726,2
userStrats.s513,#527,Calaverd,reflexiveGuy.py,TRUE,40,274.416,±0.077,62.326,92.694,15.65,2.39537,28,101.272,0
userStrats.s613,#528,Dan k Memes,pavlov.py,TRUE,40,274.359,±0.077,62.41,92.69,15.651,3.29038,10,92.168,2
userStrats.s1150,#529,Opabinia,anomalocaris.py,TRUE,40,274.341,±0.126,62.475,82.701,35.915,6.46949,25,94.527,2
userStrats.s498,#530,Jsbwalker,oracle.py,TRUE,40,274.231,±0.058,55.18,86.785,26.237,2.17896,294,175.95,0
userStrats.s134,#531,Pierre,Promise_I_Wont_Defect_Kappa.py,TRUE,40,274.189,±0.163,62.756,93.504,14.217,0.26678,31,92.308,3
userStrats.s902,#532,Dezl,DezlsFishermen.py,TRUE,40,274.175,±0.215,47.695,76.069,22.173,5.6862,23,95.57,2
userStrats.s1541,#533,Alex,randomDetect.py,TRUE,40,274.118,±0.095,66.273,81.857,35.947,7.16502,40,114.82,0
userStrats.s936,#534,DJKAMELEON,trustMeter.py,TRUE,40,274.109,±0.217,58.528,83.932,31.762,5.8083,43,103.835,2
userStrats.s1326,#535,@ronym,html-entities-1F1F3-1F1F4-27F3-52.py,TRUE,40,273.888,±0.089,60.033,84.145,33.204,6.88797,73,109.177,0
userStrats.s1392,#536,Wadu436,warreStrategy.py,TRUE,40,273.829,±0.141,56.301,89.55,27.096,6.96475,10,281.188,3
userStrats.s1227,#537,julian,cooperativetft.py,TRUE,40,273.783,±0.078,56.935,86.26,28.613,6.73062,12,99.694,3
userStrats.s1603,#538,Ascpixel (asc for short),tem.py,TRUE,40,273.735,±0.124,81.397,68.639,36.867,8.63602,241,268.811,2
userStrats.s655,#539,Sock,hoopdedoopdewoop.py,TRUE,40,273.729,±0.053,57.497,88.39,27.149,3.74986,21,112.115,0
userStrats.s1536,#540,Tort,dpg3-mlc.py,TRUE,40,273.724,±0.099,70.833,79.48,38.387,7.15191,48,91.782,3
userStrats.s591,#541,Juan Meleiro,titForTat.py,TRUE,40,273.718,±0.160,54.878,91.969,20.668,2.96919,7,85.87,0
userStrats.s256,#542,GC,gambler.py,TRUE,40,273.605,±0.138,59.917,83.804,33.619,0.74573,38,121.45,2
userStrats.s783,#543,PinkPandaPresident,EAPAV.py,TRUE,40,273.521,±0.097,63.111,84.665,30.16,4.84956,102,104.779,1
userStrats.s1267,#544,ASourMango,asourmango.py,TRUE,40,273.515,±0.101,68.192,80.936,37.002,6.80927,69,107.436,0
userStrats.s249,#545,WJR,wjr_karma.py,TRUE,40,273.491,±0.095,60.48,81.887,34.767,0.71881,12,86.764,0
userStrats.s352,#546,Kathryn,myStrat-linear.py,TRUE,40,273.433,±0.093,56.191,86.954,29.712,1.12712,20,192.773,1
userStrats.s1206,#547,Christan,Dates.py,TRUE,40,273.379,±0.144,48.316,82.282,22.526,6.67249,21,223.444,0
userStrats.s234,#548,Mathias,iAlwaysWin.py,TRUE,40,273.366,±0.076,56.278,86.946,29.728,0.66324,13,174.879,3
userStrats.s1570,#549,Chris,foolmetwice.py,TRUE,40,273.329,±0.080,76.544,77.009,40.632,7.76318,16,98.169,3
userStrats.s50,#550,romain22222,titForLoot.py,TRUE,40,273.294,±0.092,65.109,83.874,33.506,0.09664,31,97.611,1
userStrats.s1242,#551,kim,modifiedtft.py,TRUE,40,273.222,±0.051,57.461,86.315,28.477,6.75537,12,93.679,-1
userStrats.s583,#552,SaveTheMarsh (Or just Marsh),Mimic.py,TRUE,40,273.21,±0.079,71.049,79.806,38.141,2.92962,44,91.929,0
userStrats.s767,#553,akriegman,nMoveExpectation. Kriegman.py,TRUE,40,273.152,±0.114,73.123,79.181,37.251,4.74755,35,403.226,0
userStrats.s1084,#554,poop legend,tft_target_alternating.py.py - Glue Donkey.txt,TRUE,40,272.954,±0.105,61.831,83.244,33.504,6.2156,55,120.147,1
userStrats.s1220,#555,redtachyon,GrumpyTitforTat.py,TRUE,40,272.898,±0.086,61.271,83.078,34.434,6.71543,11,227.359,1
userStrats.s836,#556,Nilrem,sequential_predictor_with_failsafes.py,TRUE,40,272.896,±0.118,69.531,83.009,34.856,5.11289,132,263.269,3
userStrats.s385,#557,J0R1AN,respond.py,TRUE,40,272.872,±0.090,68.568,76.409,35.912,1.41374,31,93.893,0
userStrats.s907,#558,Eater of Sheep,respectful.py,TRUE,40,272.865,±0.082,60.969,90.494,20.476,5.70051,24,88.268,2
userStrats.s546,#559,Mashpoe,heck.py,TRUE,40,272.848,±0.133,57.508,86.784,25.839,2.69991,13,99.125,1
userStrats.s894,#560,Rod,patternTester.py,TRUE,40,272.825,±0.082,74.957,78.382,34.793,5.6445,22,100.752,3
userStrats.s1481,#561,Elian,elian.py,TRUE,40,272.799,±0.093,63.407,81.464,32.758,7.01536,15,124.854,2
userStrats.s320,#562,Harrison,armedpacifist.py,TRUE,40,272.782,±0.131,77.078,86.541,33.358,0.95306,34,94.92,3
userStrats.s908,#563,Clemens,sol_clemens.py,TRUE,40,272.648,±0.088,58.739,85.471,31.335,5.70359,41,103.094,3
userStrats.s636,#564,Grollser,tacticalTitForTat.py,TRUE,40,272.571,±0.107,50.599,88.097,20.314,3.60144,20,91.321,2
userStrats.s1221,#565,Quintium,deceivingCooperation.py,TRUE,40,272.553,±0.058,64.489,95.92,9.814,6.71744,26,97.435,1
userStrats.s863,#566,ZarthaxX,ZarthaxX.py,TRUE,40,272.547,±0.073,64.3,80.32,36.343,5.37265,38,175.555,1
userStrats.s298,#567,Ben Turley,cave.py,TRUE,40,272.517,±0.242,66.124,80.609,37.022,0.87876,17,143.777,0
userStrats.s985,#568,Nlim,cooperativeProfiler.py,TRUE,40,272.507,±0.111,78.4,76.967,39.589,5.92264,109,96.409,1
userStrats.s1306,#569,Ida,losingstratnr497.py,TRUE,40,272.454,±0.133,62.604,66.137,26.136,6.8678,28,95.505,2
userStrats.s1248,#570,enduk (maybe? idk),END11K.py,TRUE,40,272.42,±0.099,74.767,75.717,37.915,6.7625,47,106.431,-1
userStrats.s1099,#571,PC,KitchenSink.py,TRUE,40,272.416,±0.101,70.103,79.49,37.481,6.2758,339,422.892,1
userStrats.s1425,#572,Tobias,correlationTFT.py,TRUE,40,272.411,±0.119,69.201,84.374,33.393,6.98804,74,205.349,0
userStrats.s410,#573,Fen Mammoth,lastIteration.py,TRUE,40,272.312,±0.110,58.756,86.298,30.48,1.68338,56,107.998,3
userStrats.s822,#574,michael_DN,michael-n0813-v2.py,TRUE,40,272.303,±0.086,65.385,86.232,28.896,5.05292,50,165.908,2
userStrats.s428,#575,coga,GnkrSplitPersonality.py,TRUE,40,272.282,±0.263,62.197,88.201,23.037,1.75589,23,101.78,1
userStrats.s982,#576,Harry,meanieDetective.py,TRUE,40,272.234,±0.098,60.528,86.214,32.176,5.92102,17,138.129,2
userStrats.s1470,#577,brododragon,playNicer.py,TRUE,40,272.155,±0.081,78.873,75.314,40.977,7.01093,27,98.596,3
userStrats.s528,#578,Alpha,BIG BOI.py,TRUE,40,272.064,±0.093,71.618,83.668,34.886,2.54712,23,99.876,2
userStrats.s404,#579,Infinity,ForgivingIsDifficult.py,TRUE,40,272.041,±0.110,62.429,82.874,34.462,1.63872,21,90.505,2
userStrats.s325,#580,CrayRT,thecrayrtstrategy.py,TRUE,40,271.954,±0.078,67.164,83.791,32.223,0.96443,38,97.911,1
userStrats.s336,#581,Nathan,evol.py,TRUE,40,271.811,±0.066,58.256,88.578,24.884,1.0159,21,122.198,0
userStrats.s792,#582,Grant,gradualPavlov.py,TRUE,40,271.753,±0.182,63.903,81.778,35.681,4.90061,18,102.109,3
userStrats.s272,#583,Hiren,incorrectlyManupilatedTitForTat.py,TRUE,40,271.676,±0.209,59.659,86.496,26.56,0.79634,26,103.342,0
userStrats.s339,#584,Sophie,tft_3strikes.py,TRUE,40,271.643,±0.105,77.91,76.594,41.039,1.02832,17,84.059,1
userStrats.s1522,#585,GoonyKnightMan,baseballTatGKM.py,TRUE,40,271.617,±0.111,77.872,76.554,41.041,7.06693,12,89.44,2
userStrats.s473,#586,xjcl (Jan),threeStrikes.py,TRUE,40,271.588,±0.104,77.827,76.573,41.018,1.98503,19,100.388,0
userStrats.s870,#587,Ian,grudgingTit4Tat.py,TRUE,40,271.575,±0.117,77.934,76.518,41.058,5.44375,9,91.358,2
userStrats.s905,#588,Valentin,sol_valentin.py,TRUE,40,271.573,±0.090,65.605,80.306,37.28,5.69456,41,107.404,3
userStrats.s278,#589,Wwazam,wwazam_weighted_titForTat.py,TRUE,40,271.567,±0.076,72.428,81.627,37.212,0.82289,27,164.448,2
userStrats.s116,#590,Rene,CountingGrim.py,TRUE,40,271.561,±0.121,77.918,76.515,41.049,0.20701,12,96.225,1
userStrats.s786,#591,ollfkaih,titRandom.py,TRUE,40,271.561,±0.267,50.876,82.119,25.981,4.85687,9,101.393,0
userStrats.s660,#592,FerrousOxide,andyPersonality.py,TRUE,40,271.55,±0.168,61.556,86.48,23.234,3.79007,96,115.671,3
userStrats.s662,#593,BaconShrimpEyes,rtft.py,TRUE,40,271.507,±0.217,63.862,93.962,13.181,3.81103,8,93.563,3
userStrats.s520,#594,Fred Gamer,amongUsYoutuber.py,TRUE,40,271.479,±0.086,59.496,83.916,31.503,2.47804,32,97.64,0
userStrats.s1302,#595,Banbadle,exploitSmartDetectives.py,TRUE,40,271.466,±0.099,72.109,74.353,34.81,6.85785,73,98.837,1
userStrats.s138,#596,Pyrope Leijon,modifiedGrim.py,TRUE,40,271.448,±0.098,74.956,78.255,39.568,0.28353,56,90.126,1
userStrats.s193,#597,yomi,biasedrandom.py,TRUE,40,271.441,±0.288,61.06,84.482,31.484,0.53072,19,151.768,3
userStrats.s180,#598,Mrln,bitForBat.py,TRUE,40,271.309,±0.257,64.292,93.935,13.248,0.49304,12,88.991,3
userStrats.s284,#599,raytonlin1,r1checkrandom.py,TRUE,40,271.307,±0.211,73.24,78.846,38.184,0.84562,20,112.239,0
userStrats.s383,#600,crayphor,predictor.py,TRUE,40,271.237,±0.079,57.838,86.618,29.173,1.36602,34,94.353,3
userStrats.s765,#601,Teivel,eye4two.py,TRUE,40,271.233,±0.117,63.32,81.693,34.952,4.73603,11,95.215,1
userStrats.s1062,#602,Adamkio,ultraAnalyserStrat.py,TRUE,40,271.217,±0.227,59.916,83.646,31.33,6.15126,35,142.682,2
userStrats.s120,#603,ugly_robot,naive.py,TRUE,40,271.183,±0.192,61.263,89.691,20.104,0.20968,39,133.383,0
userStrats.s581,#604,5Cents,5Cents.py,TRUE,40,271.143,±0.144,57.097,77.499,21.381,2.90841,42,103.369,3
userStrats.s424,#605,MWIT30/8,titForTat_upgraded.py,TRUE,40,271.125,±0.111,70.181,89.64,22.955,1.74911,112,100.552,0
userStrats.s199,#606,Myriatope,sxy.py,TRUE,40,271.084,±0.173,59.475,85.762,26.968,0.57477,13,250.741,2
userStrats.s129,#607,Cubecow,2tatfortit.py,TRUE,40,271.056,±0.083,56.838,83.794,29.83,0.24903,5,88.453,0
userStrats.s827,#608,EmeraldFalls,titForUmTat.py,TRUE,40,271.04,±0.076,56.941,83.79,29.867,5.06624,8,88.908,3
userStrats.s629,#609,Chris,SuperCopyCat.py,TRUE,40,271.038,±0.064,56.882,83.787,29.841,3.55506,100,94.197,0
userStrats.s630,#610,atrilliongames,AngrySabotager.py,TRUE,40,271.034,±0.104,64.73,80.874,36.237,3.55563,22,98.876,1
userStrats.s1483,#611,KNights,theTurtle.py,TRUE,40,271.01,±0.071,56.925,83.771,29.857,7.01596,7,90.993,3
userStrats.s1521,#612,Rasilu,gura.py,TRUE,40,271.004,±0.081,62.8,85.158,31.428,7.05003,56,327.562,0
userStrats.s678,#613,CallumD651,consistentDetective.py,TRUE,40,270.991,±0.241,79.325,68.347,33.078,3.90618,63,2723.188,1
userStrats.s1315,#614,Gattona Mao,GattonaMao.py,TRUE,40,270.916,±0.109,63.673,82.43,34.89,6.87685,21,217.541,0
userStrats.s313,#615,Bone,deoptimizedtft.py,TRUE,40,270.89,±0.062,57.516,83.873,29.983,0.91787,5,93.674,3
userStrats.s508,#616,Jonanonathan,best.py,TRUE,40,270.856,±0.092,61.025,88.216,25.926,2.32744,21,102.956,2
userStrats.s1409,#617,QuantumCaffeine (or just Peter :),cynic.py,TRUE,40,270.767,±0.127,87.342,68.067,39.937,6.97847,113,150.538,2
